Date,Open,Close,Low,High,Volumn
2012-03-27,26,26.3,25,29.3,801
2012-03-28,27,26.2,26,27.2,75
2012-03-29,26.1,26.5,26.1,26.9,46
2012-03-30,26,26.7,26,27.1,53
2012-04-02,26.6,25.9,25.5,26.6,18
2012-04-03,26.5,25.7,25.5,26.5,4
2012-04-04,26.2,25,24.2,26.3,24
2012-04-05,25.5,25.1,24.2,26,22
2012-04-09,24.5,24.8,23.2,25.5,14
2012-04-10,25.4,24.5,23.5,25.4,3
2012-04-11,24,24.1,24,24.5,4
2012-04-16,25,25,25,25.4,18
2012-04-17,24.5,24,24,25.1,12
2012-04-18,24,24,24,25,8
2012-04-19,24,24.4,23.9,24.5,13
2012-04-20,23.9,23.9,23.9,23.9,4
2012-04-23,23.6,23.1,23,23.6,6
2012-04-24,23.9,22.5,22.5,23.9,9
2012-04-25,22.5,22,22,22.5,14
2012-04-26,23.5,22.9,22,23.5,6
2012-04-27,21.1,21.5,21.1,22.8,13
2012-04-30,23,21.5,21.5,23,14
2012-05-02,22.5,22.5,22.5,22.5,1
2012-05-03,21.5,21.5,21.5,22.1,5
2012-05-04,21.5,20.7,20.5,21.5,17
2012-05-08,20.5,20.5,20.5,21,11
2012-05-09,20.5,20,20,20.5,13
2012-05-10,20,20,19.1,20,11
2012-05-11,19.5,19.2,19.2,19.5,3
2012-05-14,19.5,20.1,19.5,20.1,3
2012-05-15,20.1,20,20,20.1,4
2012-05-16,20,21,20,21,11
2012-05-17,21.5,20,20,21.5,7
2012-05-18,20,20.1,20,20.1,9
2012-05-21,20.1,20,20,20.1,11
2012-05-22,20,19.5,19.5,20,5
2012-05-23,19.5,19,19,19.6,14
2012-05-24,19.2,19,19,19.5,7
2012-05-25,19,19,19,19,2
2012-05-28,18,18,18,19,6
2012-05-29,17.8,17.5,17,17.8,7
2012-05-30,17.5,19,17.5,19,2
2012-05-31,17.5,17.3,17.1,17.5,5
2012-06-01,17,15.9,15.8,17,13
2012-06-05,15.7,14.3,13.5,15.7,15
2012-06-06,14.9,14.5,14.5,14.9,2
2012-06-07,14.3,14.4,14,14.8,4
2012-06-08,15,14.9,14.9,15,10
2012-06-11,15,14.8,14.7,15,31
2012-06-12,15,14.8,14.8,15,25
2012-06-13,15,15.3,14.9,17.6,19
2012-06-14,15.9,16.6,15.9,16.7,25
2012-06-15,15.6,16.6,15.6,17.5,60
2012-06-18,16.5,16.5,16,16.5,16
2012-06-19,16.1,17.4,16,17.5,48
2012-06-20,17.3,17.1,16.3,17.5,27
2012-06-21,17.5,16.7,16.7,17.5,35
2012-06-22,16.9,17,16.9,17.4,26
2012-06-25,17,17.1,17,17.3,76
2012-06-26,17.4,17.6,17,17.8,98
2012-06-27,18,18.5,17.9,19.8,472
2012-06-28,18.3,18.6,18.3,19.4,205
2012-06-29,18.6,18.4,18.2,19,64
2012-07-02,18.2,17.7,17.5,18.4,64
2012-07-04,17.9,17.5,17.4,17.9,66
2012-07-05,17.5,17,17,17.5,44
2012-07-06,17.5,17,16.8,17.5,40
2012-07-09,17,16.9,16.9,17,24
2012-07-10,16.9,17,16.8,17,14
2012-07-11,17,17,16.9,17,7
2012-07-12,16.8,17,16.8,17.9,31
2012-07-13,17.3,17.1,17,17.9,57
2012-07-16,17.1,16.7,16.7,17.1,26
2012-07-17,16.8,16.7,16.6,16.8,15
2012-07-18,16.5,16.5,16.4,16.5,15
2012-07-19,16.7,17.5,16.5,17.5,44
2012-07-20,17,17,16.9,17,31
2012-07-23,16.9,16.9,16.9,17,21
2012-07-24,17,16.9,16.6,17,30
2012-07-25,16.7,17,16.7,17.4,24
2012-07-26,17,17,16.8,17,27
2012-07-27,17,17,16.9,17,28
2012-07-30,16.7,16.9,16.6,17,16
2012-07-31,16.9,16.9,16.6,17.4,76
2012-08-02,17,16.7,16.5,17.2,25
2012-08-03,16.8,16.9,16.7,16.9,6
2012-08-06,16.8,16.5,16.4,16.8,44
2012-08-07,16.4,16.3,16.3,16.5,36
2012-08-08,16.3,16,16,16.8,39
2012-08-09,15.8,15.8,15.7,15.8,17
2012-08-10,15.8,15.6,15.5,15.8,17
2012-08-13,15.5,15.5,15.5,15.7,40
2012-08-14,15.5,16,15.5,16,28
2012-08-15,16,15.8,15.8,16,22
2012-08-16,15.8,15.6,15.6,15.8,5
2012-08-17,15.9,15.8,15.6,15.9,11
2012-08-20,15.9,15.7,15.7,15.9,9
2012-08-21,15.6,15.9,15.5,16,22
2012-08-22,16,16,15.9,16.2,63
2012-08-23,16.5,16,16,16.5,49
2012-08-24,16,16,16,16.3,45
2012-08-27,15.9,16.3,15.9,16.5,35
2012-08-28,16.5,16.1,16,16.5,43
2012-08-29,16.1,16,15.9,16.1,24
2012-08-30,15.9,16,15.9,16.4,61
2012-09-03,16,16.2,16,16.3,38
2012-09-04,16.3,16.7,16.3,16.9,197
2012-09-05,16.9,16.7,16.6,17,52
2012-09-06,16.6,16.7,16.4,16.8,53
2012-09-07,16.8,17.4,16.8,17.5,208
2012-09-10,17.6,17.5,17.3,17.9,143
2012-09-11,17.5,17.2,17.2,17.6,73
2012-09-12,17.3,17,16.9,17.3,51
2012-09-13,17,17.8,17,17.9,250
2012-09-14,18,18.8,18,19.1,379
2012-09-17,19,20.2,19,21,747
2012-09-18,20.6,19.4,19.2,21.1,396
2012-09-19,18.5,19.2,18,19.9,233
2012-09-20,19.1,20,18.9,20.2,182
2012-09-21,19.9,19.6,19.5,20,88
2012-09-24,19,19,18.7,19.4,92
2012-09-25,19,19.9,19,20.1,155
2012-09-26,20,20.4,20,20.9,251
2012-09-27,20.5,20.4,20.2,20.6,136
2012-09-28,20.5,21.8,20.3,22.1,688
2012-10-01,22.2,21.9,21.8,22.4,389
2012-10-02,21.9,21.4,21.3,22,154
2012-10-03,21.4,21.5,21.4,21.8,64
2012-10-04,21.2,21,20.6,21.3,113
2012-10-05,21,21.5,21,21.6,77
2012-10-08,20.9,21.6,20.8,22,75
2012-10-09,21.6,21.1,20.8,21.9,91
2012-10-10,21,20.9,20.7,21.5,42
2012-10-11,20.7,20.8,20.1,21,81
2012-10-12,21,20.7,20.6,21,38
2012-10-15,21,20.4,20.1,21.5,34
2012-10-16,20.4,19.7,19.6,20.4,59
2012-10-17,19.5,19.8,19.5,20.2,62
2012-10-18,20,20,19.7,20.1,31
2012-10-19,20.2,19.5,19.5,20.3,110
2012-10-22,20,19.1,19.1,20,48
2012-10-23,19.3,19.1,19,19.4,29
2012-10-24,19.2,19.1,19,19.2,37
2012-10-25,19.4,19.8,19.4,20.1,102
2012-10-26,19.5,20,19.5,20.2,67
2012-10-30,20,19.6,19.6,20,40
2012-10-31,19.6,19.6,19.6,20,21
2012-11-01,19.6,19.6,19.5,19.9,20
2012-11-02,19.6,19.7,19.6,19.7,14
2012-11-05,19.9,19.7,19.6,19.9,26
2012-11-06,19.8,19.6,19.6,19.8,20
2012-11-07,19.8,19.8,19.8,19.8,18
2012-11-08,19.8,19.6,19.6,19.8,27
2012-11-09,19.7,19.8,19.7,20,46
2012-11-12,20,19.9,19.9,20.2,67
2012-11-14,19.9,19.7,19.6,19.9,32
2012-11-15,19.8,19.5,19.1,19.8,21
2012-11-16,19.5,19.2,19.2,19.5,29
2012-11-19,19.2,18.8,18.6,19.3,74
2012-11-20,19,18.9,18.6,19,43
2012-11-21,18.7,18.4,18.3,18.7,39
2012-11-22,18.8,18.5,18.4,18.9,17
2012-11-23,18.5,18.7,18.3,18.7,17
2012-11-26,18.5,18.2,18.2,18.5,32
2012-11-28,18.2,18.1,18,18.2,20
2012-11-29,18.1,18,18,18.1,67
2012-11-30,17.9,17.8,17.8,17.9,16
2012-12-03,18,17.5,17.5,18,23
