Date,Open,Close,Low,High,Volumn
2015-01-02,71,72,71,72,49220
2015-01-06,72,75,72,75,73582
2015-01-07,75,79,75,79,81905
2015-01-08,80,80,80,80,6341
2015-01-09,81,83,81,86,88175
2015-01-12,82,82,82,83,1365452
2015-01-13,82,82,81,82,261581
2015-01-16,81,80,80,81,252651
2015-01-19,80,77,73,80,40637
2015-01-20,77,76,75,78,30675
2015-01-21,76,76,75,77,1242
2015-01-22,75,76,70,76,12475
2015-01-23,75,76,72,76,1497
2015-01-26,73,76,73,76,33399
2015-01-27,77,77,76,78,773375
2015-01-28,77,80,77,80,171136
2015-01-29,77,80,77,80,155326
2015-01-30,79,79,74,80,286894
2015-02-02,77,81,75,81,54847
2015-02-05,76,80,76,82,41468
2015-02-06,75,80,75,80,146433
2015-02-09,77,78,77,79,65697
2015-02-10,77,78,77,78,9579
2015-02-11,78,80,78,80,225989
2015-02-12,78,79,78,79,4875
2015-02-13,79,82,79,82,22297
2015-02-16,79,86,79,86,24164
2015-02-18,82,81,80,82,28108
2015-02-19,81,82,81,84,109810
2015-02-20,82,82,82,82,105323
2015-02-23,82,77,75,82,477708
2015-02-24,77,77,77,78,265408
2015-02-25,77,76,76,77,64801
2015-02-26,76,76,76,76,698780
2015-02-27,77,77,76,77,3160
2015-03-02,77,75,75,77,152514
2015-03-03,76,75,74,76,9657
2015-03-04,73,76,72,76,77044
2015-03-06,72,75,72,75,6345
2015-03-09,74,76,74,76,4054
2015-03-10,75,76,72,76,10139
2015-03-11,76,76,72,76,1156
2015-03-12,75,74,73,75,3642
2015-03-13,73,76,72,76,198586
2015-03-16,72,72,67,75,98758
2015-03-17,72,72,71,72,79267
2015-03-18,69,72,69,72,118790
2015-03-19,71,72,71,72,584
2015-03-20,71,72,69,72,2183
2015-03-23,69,74,69,75,43410
2015-03-24,72,72,70,72,18724
2015-03-25,70,71,70,71,2652
2015-03-26,69,71,68,71,110807
2015-03-27,69,71,68,72,21932
2015-03-30,68,71,68,71,10499
2015-03-31,68,72,67,72,78736
2015-04-01,70,72,70,72,3846
2015-04-02,70,68,68,71,12756
2015-04-06,68,70,68,71,7080
2015-04-07,70,70,68,71,14258
2015-04-08,68,72,68,72,312901
2015-04-09,70,71,70,72,11543
2015-04-10,70,71,70,71,23013
2015-04-15,70,72,70,72,76923
2015-04-16,72,73,72,75,112147
2015-04-17,73,75,73,75,27309
2015-04-20,72,75,72,75,4007
2015-04-21,73,75,72,75,61144
2015-04-22,72,75,72,75,8301
2015-04-23,72,73,72,73,2073
2015-04-24,72,74,71,74,91779
2015-04-27,74,74,71,74,2197
2015-04-28,72,77,72,77,79143
2015-04-29,74,75,72,75,2229
2015-04-30,74,74,73,75,93850
2015-05-05,73,74,73,74,17428
2015-05-06,74,74,72,75,51357
2015-05-07,72,75,72,75,168037
2015-05-08,74,77,74,77,137310
2015-05-11,74,77,74,77,49230
2015-05-12,76,80,76,80,35414
2015-05-13,79,77,77,79,103358
2015-05-14,77,77,76,77,36320
2015-05-15,77,77,76,77,18786
2015-05-18,80,80,77,81,81607
2015-05-19,79,80,78,80,127736
2015-05-20,79,79,79,79,154775
2015-05-21,80,80,79,80,415
2015-05-22,79,80,77,80,193773
2015-05-25,78,80,77,80,3120
2015-05-26,80,80,78,80,64591
2015-05-27,76,76,75,77,60668
2015-05-28,77,78,76,78,227377
2015-05-29,77,78,77,78,48265
2015-06-01,78,78,76,78,265288
2015-06-03,77,77,76,78,506677
2015-06-04,77,78,77,79,21177
2015-06-05,77,79,77,79,30458
2015-06-08,79,82,78,82,429657
2015-06-09,80,81,78,82,166239
2015-06-10,82,81,81,82,4004
2015-06-11,82,81,81,82,1357
2015-06-12,81,82,80,82,230715
2015-06-15,81,81,81,81,10211
2015-06-16,79,81,77,81,34504
2015-06-17,77,80,77,81,131891
2015-06-18,80,81,80,81,21983
2015-06-19,81,81,80,82,348766
2015-06-22,78,77,77,78,2799
2015-06-23,78,80,77,80,737
2015-06-24,78,80,77,80,11611
2015-06-25,79,78,78,80,1984
2015-06-26,79,78,78,79,354
2015-06-29,78,79,77,80,34211
2015-06-30,77,79,77,79,3146
2015-07-02,77,79,77,79,12658
2015-07-03,77,78,76,79,2686
2015-07-06,76,79,76,79,64845
2015-07-07,78,78,77,78,23986
2015-07-08,76,79,76,79,2270
2015-07-09,77,77,75,77,54347
2015-07-10,77,77,76,77,69824
2015-07-13,77,76,76,77,12917
2015-07-14,76,76,76,76,7428
2015-07-15,76,79,76,79,387018
2015-07-16,77,79,77,79,218728
2015-07-17,77,78,77,79,162955
2015-07-20,77,79,77,79,9501
2015-07-21,77,79,77,79,23870
2015-07-22,77,80,77,80,53973
2015-07-23,80,83,80,84,704705
2015-07-24,84,84,81,84,12174
2015-07-27,84,83,82,84,53882
2015-07-28,83,84,83,84,189659
2015-07-29,84,84,84,84,16940
2015-07-30,84,85,83,87,261032
2015-08-03,87,88,87,90,309394
2015-08-04,89,93,88,93,744296
2015-08-05,95,94,93,96,257178
2015-08-06,94,92,92,95,17510
2015-08-07,92,91,91,93,100096
2015-08-10,91,93,90,93,25428
2015-08-11,91,90,89,92,138457
2015-08-12,90,92,90,92,19691
2015-08-13,92,91,88,92,20006
2015-08-14,91,91,87,92,853254
2015-08-17,91,90,89,92,6693
2015-08-18,92,90,89,93,23967
2015-08-19,88,88,88,88,3124
2015-08-20,87,87,87,90,206781
2015-08-21,91,90,87,91,34553
2015-08-24,87,85,84,87,18997
2015-08-25,88,87,84,88,15633
2015-08-26,84,85,84,85,88790
2015-08-27,84,85,84,87,6778
